실무자결재,,작업상태 색상 구분,작업상태 설명,,,,,,,
,,작업중,현재 진행 중인 작업,,,,,,,
개발기간,25. 03 ~,개발서버 반영,로컬에서 작업 및 테스트 후 개발서버 반영 완료,,,,,,,
최종 업데이트,,운영서버 반영,개발서버 테스트 후 운영서버 반영,,,,,,,
진행률,92.3%,작업대기,작업 진행 전,,,,,,,
,,,,,,,,,,
기능 ID,상위 기능,세부 기능,기능 설명,트리거/파라미터,사전조건/검증규칙,"예외 처리
(입력조건 만족하지 못 했을 때 동작)",테스트 포인트,비고,완료일자,보류작업
CALI_WAPP-001,실무자결재(리스트),리스트 및 검색필터 표시,"1. 표시할 열
- 구분, 관리번호, 소분류, 접수일, 성적서번호, 신청업체, 성적서발행처,
  기기명, 기기번호, 제작회사, 형식, 진행상태, 작성, 작성자,
  실무자, 기술책임자, 원본, 결재, EXCEL, PDF
- 구분/관리번호/소분류/접수일/성적서번호 5개 컬럼 좌측 고정(frozenCount)

2. 검색필터 세분화
- 진행상태 (대기/실무자반려/기술책임자반려/재업로드/수리/불가/취소/완료)
- 결재상태 (결재대기/결재진행중/결재실패/결재완료) — 기본값: 전체
- 작성상태 (미작성/작성대기/작성중/작성완료/작성실패)
- 접수구분 (공인/비공인/시험)
- 중분류 / 소분류 (동적 연동 — 중분류 변경 시 소분류 목록 갱신)
- 검색타입 (성적서번호/신청업체/성적서발행처/실무자/기술책임자/기기명/형식/제작회사/기기번호/관리번호)","1. 트리거
- 페이지 최초 진입 시 자동 조회
- 검색 영역에서 조회 버튼 클릭
- 그리드 페이징 시

2. 파라미터 (GET /api/report/workApprovalList)
- reportStatus (진행상태)
- workStatus (결재상태)
- writeStatus (성적서작성 상태)
- orderType (접수구분)
- middleItemCodeId (중분류코드 id)
- smallItemCodeId (소분류코드 id)
- searchType (검색타입)
- keyword (검색키워드)
- page, pageSize, sortColumn, sortDirection
  (Toast Grid 페이징 API)","1. 중분류 변경 시 소분류 목록 갱신
- 선택된 중분류에 해당하는 소분류만 표시
- 중분류 초기화 시 소분류도 초기화

2. 페이지 진입 시 중/소분류 코드 비동기 초기화
- GET /api/basic/getItemCodeInfos 호출",,,,
CALI_WAPP-002,실무자결재(리스트),리스트 데이터 표시,- 검색조건과 연동하여 TUI Grid를 통해 데이터 표시
- 서버 페이징 (기본 25건/페이지 — 25/50/100/200 선택 가능)
- SELF 타입 자체성적서만 표시,,,,,,
CALI_WAPP-003,실무자결재(리스트),행 클릭 → 성적서 수정 모달,"1. 그리드 행 클릭 시 성적서 수정(reportModify) 모달 호출
2. 모달 닫힘 후 현재 페이지 유지하며 그리드 재조회
3. COMPLETE(최종완료) 상태이면 저장 버튼 비활성화
4. 성적서작성 버튼(modal-btn-write-report)은 모달 내에서 별도 처리","1. 트리거
- 구분/결재/원본/EXCEL/PDF/체크박스 컬럼 외의 셀 클릭

2. 파라미터
- id (성적서 고유 id)",,,,,,
CALI_WAPP-004,실무자결재(리스트),성적서작성,"1. 체크된 항목을 대상으로 성적서작성(reportWrite) 모달 호출
2. 동일한 소분류 항목만 선택 가능 (소분류코드가 다르면 불가)
3. 모달 닫힘 후 그리드 재조회 (write_status 변경 반영)","1. 트리거
- '성적서작성' 버튼 클릭

2. 파라미터 (reportWrite 모달 전달)
- smallItemCodeId (첫 번째 체크 행의 소분류코드 id)
- smallCodeNum (소분류코드 표시값)
- reportIds (체크된 모든 성적서 id 배열)","1. 체크된 항목이 존재해야 함
2. 소분류코드가 모두 동일해야 함","1. 체크 항목 없을 때
- ""리스트에서 항목을 선택해 주세요."" gToast 경고

2. 소분류가 다를 때
- ""동일한 소분류 항목만 선택해 주세요."" gToast 경고",,,,
